"140,4^4,7^1,5^3,70^1,2^1,35^2,10^2,28^1"	9674		9674	6658	4817	4170	3304	2158	1518	1496	1380	1138	1138	950	818	818	784	760	648	588	588	588	588	588	588	588	588	580	488	480	480	480	456	456	430	430	412	412	400	400	400	400	396	396	396	352	352	352	352	352	352	352	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	316	294	294	294	294	294	294	294	294	294	294	294	294	294	294	292	292	292	292	280	280	280	280	280	280	280	280	280	280	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	240	240	240	240	240	240	240	232
Generation	2	Maximum	9674	6658	4817	4170	3304	2158	1518	1496	1380	1138	1138	950	818	818	784	760	648	588	588	588	588	588	588	588	588	580	488	480	480	480	456	456	430	430	412	412	400	400	400	400	396	396	396	352	352	352	352	352	352	352	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	316	294	294	294	294	294	294	294	294	294	294	294	294	294	294	292	292	292	292	280	280	280	280	280	280	280	280	280	280	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	240	240	240	240	240	240	240	232
"140,2^4,70^1"	152	Average	6440	4079.130435	2513.565217	1921.086957	1577.695652	1047.391304	848.5217391	802	748.2608696	581.1304348	564.7826087	484.9565217	397.4782609	397.4782609	368.8695652	346.173913	327.5652174	312.9565217	312.9565217	312.6956522	312.6956522	312.6956522	312.173913	312	312	302.4347826	280.4347826	265.826087	265.826087	265.826087	259.9130435	259.9130435	251.7391304	251.7391304	239.6521739	239.6521739	233.7391304	233.7391304	233.7391304	233.5652174	221.0434783	221.0434783	221.0434783	207.0434783	206.173913	206.173913	206.173913	206.173913	206.173913	204.8695652	193.9130435	193.9130435	193.9130435	193.9130435	193.9130435	193.3913043	193.3913043	193.3913043	193.3913043	193.3913043	193.3913043	193.3913043	192	192	192	192	192	192	184.173913	183.4782609	183.4782609	183.4782609	183.1304348	182.9565217	182.7826087	182.7826087	182.4347826	180.6956522	180.6956522	180.6956522	180.6956522	180.6956522	180.6956522	180.6956522	180.6086957	180.6086957	179.9130435	179.9130435	179.1304348	179.1304348	178.9565217	178.8695652	178.5217391	178.5217391	178.5217391	178.5217391	177.0434783	172.173913	170.0869565	169.7391304	169.7391304	169.7391304	169.7391304	169.7391304	169.5652174	169.5652174	169.3913043	169.3913043	169.3913043	169.3913043	169.3913043	169.3913043	168.9565217	168.4347826	168.4347826	167.5652174	165.4782609	165.4782609	165.1304348	165.1304348	165.1304348	164.9565217	164.8695652	164.8695652	164.7826087	164.2608696	160.173913	160.173913	160.173913	159.5652174	159.5652174	158.8695652	158.8695652	158.6086957	158.6086957	158.2608696	158.0869565	157.2173913	157.2173913	157.0434783	156.4347826	155.9130435	155.9130435	155.3913043	155.0434783	154.6956522	154.6956522	154.3478261	154	145.2173913	145.2173913	144.8695652	144.3478261	144.3478261	143.9130435	143.9130435	143.9130435	143.4782609	143.2173913	143.2173913	143.1304348	143.1304348	142.9565217	142.9565217	142.9565217	142.5217391	142.5217391	142.5217391	142.5217391	140.8695652	140.7826087	140.6956522	140.6956522	140.3478261	140.3478261	139.826087	139.3913043	139.1304348	138.4347826	138.4347826	138.4347826	136.9565217	136.9565217	136.5217391	136.0869565	136.0869565	136.0869565	136.0869565	135.5652174
"140,2^6,70^1"	316	Minimum	1496	152	152	136	136	136	120	120	120	120	120	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	66	66	66	66	66	66	66	66	66	66	66	66	66	66	58	58	58	58	58	56	48	48	48	48	48	46	38	30	30	30	30	30	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	24	24	24	24	24	24	24	24	24	18	18	18	18	18	18	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	14	14	14	14	14	14	14	14	14	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
"140,2^5,4^1,35^1,10^1"	962																																																																																																																																																																																														
"140,2^16,14^2,10^1"	1300																																																																																																																																																																																														
"140,2^15,4^1,14^1"	1496																																																																																																																																																																																														
"140,2^16,4^1,10^1"	1518																																																																																																																																																																																														
"140,2^26,70^1"	2584																																																																																																																																																																																														
"140,2^2,4^2,28^4,14^1"	3249																																																																																																																																																																																														
